epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,496.88,2.20121,16.9687,0.85753,0.00048,0.12008,0.02472,0.00957,2.68851,9.17491,1.06248,0.00047484,0.00047484,0.00047484
2,944.461,2.43623,12.9892,0.87392,0.51053,0.02381,0.0328,0.0195,2.78855,7.26481,1.02151,0.000715758,0.000715758,0.000715758
3,1407.56,2.53638,9.38032,0.90224,0.65349,0.0383,0.05101,0.02335,2.68968,5.46882,1.0214,0.000720891,0.000720891,0.000720891
4,1851.73,2.33015,6.88433,0.8812,0.59654,0.0528,0.05148,0.03233,2.47692,4.81506,0.96991,0.000367967,0.000367967,0.000367967
