epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3909.97,2.60182,2.73885,1.86782,0.38554,0.22097,0.2025,0.078,2.20666,2.46141,1.73587,0.000661202,0.000661202,0.000661202
2,7420.01,2.09691,2.00421,1.61581,0.42412,0.35911,0.33734,0.14019,2.11004,1.92263,1.68907,0.00126214,0.00126214,0.00126214
3,10928.5,2.0126,1.86288,1.59486,0.50039,0.37484,0.37794,0.16572,1.94012,1.84723,1.67038,0.00179708,0.00179708,0.00179708
